county_fips,permit_year,attom_match_tier,n,n_prop_value,n_blockgroup,prop_value_rate,blockgroup_rate
22005,2012.0,exact,1,1,1,1.0,1.0
22005,2014.0,exact,1,1,1,1.0,1.0
22005,2015.0,exact,3,3,1,1.0,0.3333333333333333
22005,2016.0,exact,15,15,10,1.0,0.6666666666666666
22005,2016.0,unique_no_suffix,2,2,2,1.0,1.0
22005,2016.0,unique_nosuffix_county,1,1,1,1.0,1.0
22005,2016.0,unmatched,5,0,0,0.0,0.0
22005,2017.0,exact,30,30,23,1.0,0.7666666666666667
22005,2017.0,unmatched,8,0,0,0.0,0.0
22005,2018.0,exact,5,5,3,1.0,0.6
22005,2018.0,unmatched,1,0,0,0.0,0.0
22005,2019.0,exact,5,5,2,1.0,0.4
22005,2019.0,unmatched,2,0,0,0.0,0.0
22005,2020.0,exact,9,9,6,1.0,0.6666666666666666
22005,2020.0,unique_addr_county,2,2,1,1.0,0.5
22005,2020.0,unmatched,2,0,0,0.0,0.0
22005,2021.0,exact,8,8,6,1.0,0.75
22005,2021.0,unique_nosuffix_county,1,1,1,1.0,1.0
22005,2021.0,unmatched,1,0,0,0.0,0.0
22005,2022.0,exact,7,7,4,1.0,0.5714285714285714
22005,2022.0,unmatched,2,0,0,0.0,0.0
22005,2023.0,exact,2,2,1,1.0,0.5
22005,2023.0,unmatched,1,0,0,0.0,0.0
22005,2024.0,exact,13,13,8,1.0,0.6153846153846154
22005,2025.0,exact,21,21,17,1.0,0.8095238095238095
22005,2025.0,unique_compact,1,1,1,1.0,1.0
22005,2025.0,unique_no_suffix,1,1,1,1.0,1.0
22005,2025.0,unmatched,1,0,0,0.0,0.0
22007,2016.0,unique_addr_county,1,1,1,1.0,1.0
22007,2023.0,exact,1,1,1,1.0,1.0
22007,2025.0,unmatched,1,0,0,0.0,0.0
22019,2011.0,exact,2,2,2,1.0,1.0
22019,2011.0,unmatched,1,0,0,0.0,0.0
22019,2012.0,exact,2,2,2,1.0,1.0
22019,2013.0,exact,1,1,1,1.0,1.0
22019,2016.0,exact,2,2,2,1.0,1.0
22019,2017.0,exact,1,1,1,1.0,1.0
22019,2018.0,exact,5,5,5,1.0,1.0
22019,2019.0,exact,3,3,3,1.0,1.0
22019,2020.0,exact,3,3,3,1.0,1.0
22019,2021.0,exact,7,7,7,1.0,1.0
22019,2022.0,exact,1,1,1,1.0,1.0
22019,2023.0,exact,6,6,6,1.0,1.0
22019,2023.0,unique_no_suffix,1,1,1,1.0,1.0
22019,2023.0,unmatched,1,0,0,0.0,0.0
22019,2024.0,exact,15,15,14,1.0,0.9333333333333333
22019,2024.0,unique_no_suffix,1,1,1,1.0,1.0
22019,2025.0,exact,6,6,6,1.0,1.0
22019,2025.0,unmatched,1,0,0,0.0,0.0
22033,2013.0,exact,1,1,1,1.0,1.0
22033,2015.0,exact,1,1,1,1.0,1.0
22033,2016.0,exact,6,6,5,1.0,0.8333333333333334
22033,2017.0,exact,11,11,11,1.0,1.0
22033,2018.0,exact,4,4,4,1.0,1.0
