county_fips,permit_year,attom_match_tier,n,n_prop_value,n_blockgroup,prop_value_rate,blockgroup_rate
25001,1992.0,exact,1,1,1,1.0,1.0
25001,1993.0,exact,1,1,1,1.0,1.0
25001,1994.0,exact,1,1,1,1.0,1.0
25001,1999.0,exact,1,1,1,1.0,1.0
25001,2003.0,exact,2,2,2,1.0,1.0
25001,2004.0,exact,1,1,1,1.0,1.0
25001,2004.0,unique_no_suffix,1,1,1,1.0,1.0
25001,2005.0,exact,1,1,1,1.0,1.0
25001,2006.0,exact,1,1,0,1.0,0.0
25001,2008.0,exact,1,1,1,1.0,1.0
25001,2008.0,unmatched,1,0,0,0.0,0.0
25001,2010.0,unmatched,1,0,0,0.0,0.0
25001,2011.0,exact,1,1,1,1.0,1.0
25001,2012.0,exact,1,1,0,1.0,0.0
25001,2013.0,exact,1,1,1,1.0,1.0
25001,2014.0,exact,2,2,2,1.0,1.0
25001,2014.0,unique_no_suffix,1,1,1,1.0,1.0
25001,2014.0,unmatched,1,0,0,0.0,0.0
25001,2015.0,exact,3,3,2,1.0,0.6666666666666666
25001,2016.0,exact,1,1,1,1.0,1.0
25001,2017.0,exact,3,3,2,1.0,0.6666666666666666
25001,2018.0,exact,2,2,2,1.0,1.0
25001,2018.0,unique_nosuffix_county,1,1,1,1.0,1.0
25001,2019.0,exact,2,2,1,1.0,0.5
25001,2020.0,exact,4,4,4,1.0,1.0
25001,2020.0,unmatched,1,0,0,0.0,0.0
25001,2021.0,exact,1,1,1,1.0,1.0
25001,2021.0,unmatched,1,0,0,0.0,0.0
25001,2022.0,exact,2,2,2,1.0,1.0
25001,2022.0,unmatched,1,0,0,0.0,0.0
25001,2023.0,exact,3,3,2,1.0,0.6666666666666666
25001,2024.0,unmatched,1,0,0,0.0,0.0
25001,2025.0,exact,1,1,0,1.0,0.0
25005,2001.0,exact,1,1,1,1.0,1.0
25005,2014.0,unmatched,1,0,0,0.0,0.0
25005,2019.0,exact,1,1,1,1.0,1.0
25005,2025.0,exact,1,1,1,1.0,1.0
25009,1981.0,exact,3,3,3,1.0,1.0
