county_fips,permit_year,attom_match_tier,n,n_prop_value,n_blockgroup,prop_value_rate,blockgroup_rate
33015,1991.0,exact,1,1,1,1.0,1.0
33015,1992.0,exact,1,1,1,1.0,1.0
33015,1995.0,exact,3,3,3,1.0,1.0
33015,2001.0,exact,1,1,1,1.0,1.0
33015,2002.0,exact,3,3,3,1.0,1.0
33015,2003.0,exact,2,2,2,1.0,1.0
33015,2003.0,unmatched,1,0,0,0.0,0.0
33015,2005.0,exact,1,1,1,1.0,1.0
33015,2006.0,exact,3,3,3,1.0,1.0
33015,2007.0,exact,1,1,0,1.0,0.0
33015,2008.0,exact,1,1,1,1.0,1.0
33015,2009.0,exact,3,3,3,1.0,1.0
33015,2010.0,exact,1,1,1,1.0,1.0
33015,2014.0,exact,1,1,1,1.0,1.0
33015,2015.0,exact,1,1,1,1.0,1.0
33015,2016.0,exact,1,1,1,1.0,1.0
33015,2017.0,exact,2,2,2,1.0,1.0
33015,2022.0,exact,1,1,1,1.0,1.0
33015,2024.0,unmatched,1,0,0,0.0,0.0
33015,2025.0,exact,2,2,2,1.0,1.0
33017,2024.0,exact,1,1,1,1.0,1.0
33017,2024.0,unmatched,1,0,0,0.0,0.0
33017,2025.0,exact,1,1,1,1.0,1.0
