county_fips,permit_year,attom_match_tier,n,n_prop_value,n_blockgroup,prop_value_rate,blockgroup_rate
44001,1999.0,exact,1,1,1,1.0,1.0
44001,2007.0,exact,2,2,2,1.0,1.0
44001,2010.0,exact,1,1,1,1.0,1.0
44001,2014.0,exact,1,1,1,1.0,1.0
44001,2020.0,exact,1,1,1,1.0,1.0
44001,2025.0,exact,1,1,1,1.0,1.0
44003,2007.0,exact,1,1,1,1.0,1.0
44003,2007.0,unique_addr_county,1,1,1,1.0,1.0
44003,2009.0,exact,1,1,1,1.0,1.0
44003,2010.0,unique_addr_county,2,2,2,1.0,1.0
44003,2013.0,exact,1,1,1,1.0,1.0
44003,2014.0,exact,1,1,1,1.0,1.0
44003,2015.0,exact,3,3,3,1.0,1.0
44003,2016.0,exact,1,1,1,1.0,1.0
44003,2016.0,unique_addr_county,1,1,1,1.0,1.0
44003,2018.0,unique_addr_county,1,1,1,1.0,1.0
44003,2019.0,exact,1,1,1,1.0,1.0
44003,2019.0,unique_no_suffix,1,1,1,1.0,1.0
44003,2020.0,exact,1,1,1,1.0,1.0
44003,2020.0,unique_addr_county,1,1,1,1.0,1.0
44003,2021.0,exact,1,1,1,1.0,1.0
44003,2023.0,exact,1,1,1,1.0,1.0
44003,2023.0,unmatched,1,0,0,0.0,0.0
44003,2024.0,exact,1,1,1,1.0,1.0
44005,2001.0,exact,1,1,1,1.0,1.0
44005,2006.0,exact,1,1,1,1.0,1.0
44005,2007.0,exact,1,1,1,1.0,1.0
44005,2009.0,unmatched,1,0,0,0.0,0.0
44005,2010.0,exact,2,2,2,1.0,1.0
44005,2012.0,exact,2,2,1,1.0,0.5
44005,2013.0,exact,1,1,1,1.0,1.0
44005,2014.0,exact,3,3,3,1.0,1.0
44005,2016.0,exact,1,1,1,1.0,1.0
44005,2017.0,exact,1,1,1,1.0,1.0
44005,2018.0,exact,3,3,3,1.0,1.0
44005,2019.0,exact,2,2,2,1.0,1.0
44005,2020.0,exact,2,2,2,1.0,1.0
44005,2020.0,unmatched,1,0,0,0.0,0.0
