county_fips,permit_year,attom_match_tier,n,n_prop_value,n_blockgroup,prop_value_rate,blockgroup_rate
50007,1983.0,exact,1,1,1,1.0,1.0
50007,1983.0,unmatched,1,0,0,0.0,0.0
50007,1987.0,exact,1,1,1,1.0,1.0
50007,1993.0,exact,1,1,1,1.0,1.0
50007,1995.0,exact,1,1,1,1.0,1.0
50007,2001.0,exact,1,1,1,1.0,1.0
50007,2003.0,exact,1,1,1,1.0,1.0
50007,2007.0,exact,1,1,1,1.0,1.0
50007,2008.0,exact,2,2,2,1.0,1.0
50007,2009.0,exact,2,2,2,1.0,1.0
50007,2010.0,unmatched,1,0,0,0.0,0.0
50007,2017.0,exact,1,1,1,1.0,1.0
50007,2023.0,exact,1,1,1,1.0,1.0
50007,2023.0,unmatched,2,0,0,0.0,0.0
50007,2024.0,exact,2,2,1,1.0,0.5
50007,2025.0,exact,1,1,1,1.0,1.0
50023,2011.0,exact,1,1,1,1.0,1.0
50023,2017.0,exact,1,1,1,1.0,1.0
50023,2019.0,exact,1,1,1,1.0,1.0
50023,2024.0,exact,2,2,2,1.0,1.0
